timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,8,25,80.77,95.41,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,8,50,80.77,95.404,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,8,100,80.772,95.408,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,16,25,80.772,95.39,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,16,50,80.78,95.394,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,16,100,80.774,95.402,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,32,25,80.736,95.37,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,32,50,80.716,95.418,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,32,100,80.738,95.382,True,10
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,64,25,80.54,95.362,True,10
