timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,8,25,0.272,1.116,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,8,50,0.304,1.122,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,8,100,0.298,1.106,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,16,25,0.3,1.056,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,16,50,0.288,1.078,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,16,100,0.302,1.082,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,32,25,0.306,1.076,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,32,50,0.31,1.048,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,32,100,0.264,1.08,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,64,25,0.28,1.032,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,64,50,0.274,1.024,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.2,64,100,0.286,1.094,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,8,25,0.228,1.006,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,8,50,0.26,1.01,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,8,100,0.246,0.996,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,16,25,0.218,0.918,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,16,50,0.262,0.924,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,16,100,0.26,0.964,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,32,25,0.202,0.918,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,32,50,0.214,0.84,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,32,100,0.18,0.914,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,64,25,0.154,0.738,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,64,50,0.154,0.746,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.4,64,100,0.156,0.854,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,8,25,0.15,0.714,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,8,50,0.164,0.738,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,8,100,0.172,0.71,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,16,25,0.112,0.696,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,16,50,0.146,0.652,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,16,100,0.15,0.746,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,32,25,0.118,0.674,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,32,50,0.154,0.638,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,32,100,0.124,0.632,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,64,25,0.11,0.534,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,64,50,0.102,0.602,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.6,64,100,0.112,0.554,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,8,25,0.124,0.568,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,8,50,0.108,0.556,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,8,100,0.122,0.592,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,16,25,0.096,0.584,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,16,50,0.112,0.544,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,16,100,0.116,0.558,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,32,25,0.13,0.578,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,32,50,0.118,0.592,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,32,100,0.108,0.55,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,64,25,0.108,0.516,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,64,50,0.104,0.542,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,0.8,64,100,0.104,0.496,True,10
20250818_124603,mobilenet_v2,DEFAULT,64,32,224,4,2,lsq,True,qdrop,20000,0.2,0.01,1.0,False,72.152,0.3,1.0,8,25,0.118,0.54,True,10
