timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,8,25,0.296,1.084,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,8,50,0.298,1.082,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,8,100,0.306,1.076,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,16,25,0.306,1.098,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,16,50,0.288,1.086,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,16,100,0.276,1.09,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,32,25,0.288,1.1,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,32,50,0.292,1.104,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,32,100,0.28,1.096,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,64,25,0.268,1.058,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,64,50,0.294,1.092,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.2,64,100,0.236,1.012,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,8,25,0.284,1.116,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,8,50,0.302,1.124,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,8,100,0.292,1.128,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,16,25,0.278,1.12,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,16,50,0.28,1.112,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,16,100,0.272,1.116,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,32,25,0.278,1.142,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,32,50,0.252,1.132,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,32,100,0.25,1.1,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,64,25,0.262,1.05,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,64,50,0.238,1.09,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.4,64,100,0.194,0.978,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.6,8,25,0.266,1.128,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.6,8,50,0.28,1.122,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.6,8,100,0.252,1.144,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.6,16,25,0.254,1.104,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.6,16,50,0.268,1.072,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.6,16,100,0.246,1.07,True,10
20250818_160706,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,brecq,20000,0.2,0.01,1.0,False,72.152,0.298,0.6,32,25,0.276,1.124,True,10
