timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,25,72.05,90.758,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,50,72.042,90.758,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,100,72.03,90.77,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,16,25,72.014,90.77,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,16,50,72.042,90.768,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,16,100,72.026,90.754,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,32,25,72.022,90.77,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,32,50,72.022,90.776,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,32,100,72.012,90.748,True,10
20250817_170539,mobilenet_v2,DEFAULT,64,32,224,8,8,learnable,True,adaround,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,64,25,71.94,90.748,True,10
