timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250818_120420,mobilenet_v2,DEFAULT,64,32,224,4,4,learnable,True,qdrop,20000,0.2,0.01,1.0,False,72.152,24.22,0.2,8,25,26.688,50.574,True,10
20250818_120420,mobilenet_v2,DEFAULT,64,32,224,4,4,learnable,True,qdrop,20000,0.2,0.01,1.0,False,72.152,24.22,0.2,8,50,26.716,50.302,True,10
20250818_120420,mobilenet_v2,DEFAULT,64,32,224,4,4,learnable,True,qdrop,20000,0.2,0.01,1.0,False,72.152,24.22,0.2,8,100,26.768,50.526,True,10
20250818_120420,mobilenet_v2,DEFAULT,64,32,224,4,4,learnable,True,qdrop,20000,0.2,0.01,1.0,False,72.152,24.22,0.2,16,25,26.908,50.838,True,10
20250818_120420,mobilenet_v2,DEFAULT,64,32,224,4,4,learnable,True,qdrop,20000,0.2,0.01,1.0,False,72.152,24.22,0.2,16,50,26.67,50.528,True,10
