timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,8,25,0.114,0.54,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,8,50,0.118,0.538,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,8,100,0.118,0.532,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,16,25,0.114,0.536,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,16,50,0.12,0.542,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,16,100,0.116,0.538,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,32,25,0.118,0.534,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,32,50,0.116,0.54,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,32,100,0.118,0.536,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,64,25,0.122,0.53,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,64,50,0.118,0.538,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.2,64,100,0.118,0.538,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,8,25,0.114,0.534,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,8,50,0.12,0.534,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,8,100,0.118,0.53,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,16,25,0.12,0.532,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,16,50,0.122,0.526,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,16,100,0.116,0.538,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,32,25,0.114,0.524,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,32,50,0.112,0.536,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,32,100,0.118,0.528,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,64,25,0.112,0.53,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,64,50,0.118,0.54,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.4,64,100,0.114,0.52,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.6,8,25,0.112,0.526,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.6,8,50,0.114,0.53,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.6,8,100,0.112,0.52,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.6,16,25,0.11,0.516,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.6,16,50,0.116,0.516,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.6,16,100,0.114,0.532,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.6,32,25,0.114,0.51,True,10
20250818_165546,regnet_x_3_2gf,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,81.18,0.116,0.6,32,50,0.106,0.538,True,10
